alim_nom_fr,Eau (g/100 g),"Prot‚ines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fibres alimentaires (g/100 g),AG satur‚s (g/100 g),Sel chlorure de sodium (g/100 g)
Dessert (aliment moyen),"45,4","4,61","36,6","12,9","23,7","1,54","5,18","0,38"
"Salade de thon et l‚gumes, appertis‚e","76,5","9,15","7,74","4,7","3,08","2,7","0,56","1,11"
"Salade compos‚e avec viande ou poisson, appertis‚e","76,7","8,06","6,4","5,3","1,9",2,"0,16","0,95"
"Champignons … la grecque, appertis‚s","85,2","2,08","3,95","3,55","2,38","2,35","0,23","1,26"
"Taboul‚ ou Salade de couscous, pr‚emball‚","60,3","4,88","23,7","6,7","4,9","2,5","0,67",1
"Salade de riz, appertis‚e","72,5","5,13","16,1","4,35",1,"1,7","0,53","1,1"
"Salade de pƒtes, v‚g‚tarienne","72,6","5,7","13,7","8,1","2,3","1,7","2,37","1,04"
"Crudit‚, sans assaisonnement (aliment moyen)","93,2","0,94","3,07","0,7","2,27","1,51","0,12","0,031"
"Salade de pƒtes aux l‚gumes, avec poisson ou viande, pr‚emball‚e","70,5","5,19",14,"9,94","2,16","1,98","1,74","0,95"
"Mac‚doine de l‚gumes en salade, avec sauce, pr‚emball‚e","78,3","2,81",7,"9,3","2,3","4,11","0,7","1,04"
"Salade C‚sar au poulet (salade verte, fromage, cro–tons, sauce), pr‚emball‚e","71,8","8,13","4,88",10,"1,71",2,"2,36","0,75"
"Salade v‚g‚tale … base de boulgour et/ou quinoa et l‚gumes, pr‚emball‚e","65,5","4,06","17,4","8,3","4,61","3,3","0,92","0,77"
"Carottes rƒp‚es, avec sauce, pr‚emball‚es","84,7","0,98","6,01",5,"5,2","3,64","0,43","0,67"
"Salade de betterave, avec sauce, pr‚emball‚e","83,5","1,29","7,45","4,94","5,3","2,66","0,37","0,7"
