nom;Eau;Proteines;Glucides ;Lipides ;Sucres ;FibresAlimentaires;AG_satures ;Sel
Dessert (aliment moyen);45,4;4,61;36,6;12,9;23,7;1,54;5,18;0,38
Salade de thon et légumes, appertisée;76,5;9,15;7,74;4,7;3,08;2,7;0,56;1,11
Salade composée avec viande ou poisson, appertisée;76,7;8,06;6,4;5,3;1,9;2;0,16;0,95
Champignons à la grecque, appertisés;85,2;2,08;3,95;3,55;2,38;2,35;0,23;1,26
Salade de pommes de terre, fait maison;76;2,68;9,9;8,2;-;1,3;1,43;1,32
Taboulé ou Salade de couscous, préemballé;60,3;4,88;23,7;6,7;4,9;2,5;0,67;1
Salade de pomme de terre à la piémontaise, préemballée;75,8;4,5;8,87;8,3;1,2;< 0,5;0,82;1,08
Salade de riz, appertisée;72,5;5,13;16,1;4,35;1;1,7;0,53;1,1
Salade de pâtes, végétarienne;72,6;5,7;13,7;8,1;2,3;1,7;2,37;1,04
Crudité, sans assaisonnement (aliment moyen);93,2;0,94;3,07;0,7;2,27;1,51;0,12;0,031
Salade de pâtes aux légumes, avec poisson ou viande, préemballée;70,5;5,19;14;9,94;2,16;1,98;1,74;0,95
Macédoine de légumes en salade, avec sauce, préemballée;78,3;2,81;7;9,3;2,3;4,11;0,7;1,04
Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée;71,8;8,13;4,88;10;1,71;2;2,36;0,75
Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée;65,5;4,06;17,4;8,3;4,61;3,3;0,92;0,77
Carottes râpées, avec sauce, préemballées;84,7;0,98;6,01;5;5,2;3,64;0,43;0,67
Salade de betterave, avec sauce, préemballée;83,5;1,29;7,45;4,94;5,3;2,66;0,37;0,7
Salade de chou ou Coleslaw, avec sauce, préemballée;80,4;0,94;5,78;8,1;4,72;3;0,63;0,88
Salade de concombre à la crème/fromage blanc, préemballée;-;1,1;1,97;11,3;1,39;1,48;1,35;1,07
Salade de lentilles et saucisse fumée, préemballée;-;7;8,9;11,8;0,9;3,6;0,9;0,89
Salade grecque, avec sauce, préemballée;-;2;1,4;7,1;1,4;2;2,7;1,04
Salade de riz à la niçoise, avec sauce, préemballée;73,7;4,45;15,8;6,08;1,35;1,5;0,63;0,76
Taboulé ou Salade de couscous au poulet, préemballé;62,6;6,4;20,6;7,45;2,48;2,02;0,86;1,05
Soupe aux lentilles, préemballée à réchauffer;85,8;3,74;6,6;1,12;0,7;1,8;0,45;0,36
Soupe à la volaille et aux légumes, préemballée à réchauffer;-;3,09;2,6;0,8;1,2;0,4;0,3;1,75
Soupe aux légumes variés, préemballée à réchauffer;90,2;0,76;5,05;1,56;1,72;1,1;0,55;0,69
Soupe de poissons et / ou crustacés, préemballée à réchauffer;89,4;3,45;2,88;1,79;0,9;0,69;0,58;0,86
Soupe aux légumes variés, déshydratée reconstituée;90,9;0,86;4,43;1,22;1,07;1,16;0,39;0,69
Soupe aux poireaux et pommes de terre, préemballée à réchauffer;90,8;0,79;4,46;1,51;0,81;1,28;0,6;0,73
Soupe à la volaille et aux vermicelles, préemballée à réchauffer;93,8;1,3;3,86;1;0,77;0,56;0,49;0,82
Bouillon de viande et légumes type pot-au-feu, prêt à consommer;98,1;0,2;0,1;0,4;0;0;0,2;1,08
Soupe à l'oignon, préemballée à réchauffer;92,7;1,35;4,93;1,4;1,5;1,34;0,55;0,79
Soupe aux champignons, préemballée à réchauffer;92;0,81;4,09;3,07;0,91;0,52;1,58;0,78
Soupe à la carotte, préemballée à réchauffer;91,2;0,61;3,89;1,41;1,82;1,22;0,96;0,65
Soupe à la tomate, préemballée à réchauffer;90,3;0,74;6,27;0,99;2,95;0,88;0,36;0,64
Soupe chorba frik, à base de viande et de frik;85,1;3,75;5,4;2,5;0,9;1,9;-;0,84
Soupe minestrone, préemballée à réchauffer;89,4;1,2;5,6;2;1,7;1,8;0,6;0,75
Soupe au pistou, déshydratée reconstituée;89,4;1,2;5,2;0,35;1,2;0,8;< 0,2;0,64
Soupe de poissons et / ou crustacés, déshydratée reconstituée;90,6;0,91;5,09;0,5;1,06;0,21;0,14;0,63
Soupe asiatique, avec pâtes, déshydratée reconstituée;93,3;0,97;5,25;0,44;1,21;0,49;0,17;0,84
Soupe marocaine, déshydratée reconstituée;90;1,2;5,77;0,55;1,49;0,72;0,23;0,8
Soupe aux poireaux et pommes de terre, déshydratée reconstituée;92,8;0,63;4,84;0,41;0,91;0,28;0,2;0,72
Soupe à la volaille et aux légumes, déshydratée reconstituée;-;0,99;4,58;0,44;0,55;0,51;0,17;0,73
Bouillon de boeuf, déshydraté reconstitué;97,6;0,6;1,33;0,15;0,33;0;0,057;0,74
Soupe aux asperges, déshydratée reconstituée;90,8;0,6;5,14;1,31;0,99;0,28;0,73;0,76
Soupe à la tomate et aux vermicelles, préemballée à réchauffer;-;1,1;5,87;0,8;3,43;1,3;0,5;0,77
Soupe aux céréales et aux légumes, déshydratée reconstituée;90;1,4;6,8;1,4;1,2;1,2;0,8;0,78
Soupe à la tomate, déshydratée reconstituée;90,4;0,76;5,79;0,97;2,44;0,64;0,32;0,69
Soupe aux champignons, déshydratée reconstituée;91,3;0,65;4,37;1,79;0,63;0,82;0,73;0,79
Soupe à l'oignon, déshydratée reconstituée;94,1;0,58;4,37;0,4;1,3;0,31;0,23;0,79
Soupe au potiron, préemballée à réchauffer;91,8;0,67;4,13;1,56;2,37;1,31;0,88;0,65
Bouillon de volaille, déshydraté reconstitué;97,4;0,6;0,5;0,13;0,18;< 0,0001;0,083;0,78
Bouillon de légumes, déshydraté reconstitué;98;0,34;0,65;0,16;0,19;0;0,14;0,61
Soupe à la tomate et aux vermicelles, déshydratée reconstituée;92,2;0,63;4,21;0,18;0,72;0,32;0,099;0,68
Soupe à la volaille et aux vermicelles, déshydratée reconstituée;94,2;0,75;3,87;0,25;0,31;0,26;0,081;0,68
Soupe au pistou, préemballée à réchauffer;-;2;4,1;0,5;< 0,25;1,5;0,2;0,65
Soupe au potiron, déshydratée reconstituée;-;0,79;5,61;1,24;2,64;0,76;0,61;0,7
Soupe asiatique, avec pâtes, préemballée à réchauffer;-;0,7;3,4;0,5;0,5;0,7;0,2;0,9
Soupe minestrone, déshydratée reconstituée;91,3;1,14;5,53;0,34;1,07;0,79;0,02;0,7
Soupe au cresson, déshydratée reconstituée;-;0,42;3,95;0,8;0,31;0,19;0,42;0,77
Soupe au cresson, préemballée à réchauffer;-;1;5,4;0,8;0,9;0,6;0,5;0,78
Soupe aux légumes avec fromage, préemballée à réchauffer;-;1,34;5,09;2,51;1,62;0,93;1,58;0,67
Soupe aux légumes verts, préemballée à réchauffer;90,9;1;3,84;1,32;0,81;1,05;0,64;0,7
Soupe aux légumes verts, déshydratée reconstituée;91,8;0,72;5,31;1,07;1,07;0,54;0,71;0,66
Soupe aux pois cassés, préemballée à réchauffer;-;2,68;6,25;1,98;1,02;1,6;0,67;0,7
Soupe froide type Gaspacho ou Gazpacho, préemballée;91,1;0,65;3,38;1,62;2,32;1,04;0,27;0,75
Soupe aux asperges, préemballée à réchauffer;-;4,6;4,7;10,4;2,9;1;5,1;0,98
Soupe (aliment moyen);90,7;1,27;4,5;1,37;1,6;1,02;0,57;0,75
Soupe miso, déshydratée reconstituée;94,6;1,38;2,18;< 0,5;0,69;< 0,5;< 0,0098;1,1
Tripes à la mode de Caen;74;20,4;0,3;3,68;traces;0;1,29;1,06
Tripes à la mode de Caen, préemballées;77,9;18,4;0,7;3,62;0,5;1,25;2,1;1,03
Tripes à la tomate ou à la provençale;76,6;15,7;0,6;3,2;< 0,4;0;1,64;1,23
Blanquette de veau;75,1;15,4;3,1;4;0,3;0,8;2,03;0,74
Boeuf bourguignon;78,4;8,93;4,17;3,3;1,57;1,25;0,88;0,88
Sauté d'agneau au curry, préemballé;73,5;10,5;-;13,9;-;1;6,7;1,29
Canard en sauce (poivre vert, chasseur, etc.), préemballé;-;9,55;10,2;7,3;-;traces;-;-
Lapin à la moutarde, préemballé;-;14,9;0,5;5;0,5;0,8;2,1;1,2
Coq au vin;-;13;4;7;1;0,9;1;1,05
Paupiette de veau;64,1;14,5;2,6;13,8;0,41;0,2;5,45;1,26
Paupiette de volaille;64,2;23,9;8,8;3,4;-;1,17;0,65;1,05
Viande en sauce (aliment moyen);77,1;11,3;3,65;4,6;1,34;1,08;1,8;0,85
Poulet au curry et au lait de coco;75,2;10,6;3,15;6,9;1,49;1,1;3,03;1,07
